"from_user_id","to_user_id","betweenness"
"1723","540",326.913728564068
"1947","527",2609.77463847725
"1723","1723",0
"225","527",466
"1723","540",326.913728564068
"2222","1460",28.4245298659753
"1723","527",2196.80412220185
"3257","1738",3
"3257","2222",8
"1947","2222",128.654939217702
"1947","1460",89.2156361863338
"527","1986",180
"2252","1277",11.043137254902
"1947","2222",128.654939217702
"3261","3270",1
"18","3277",180
"2252","1723",429.703488668195
"1723","1723",0
"1460","1647",186
"1831","1723",11910.1322222604
"3282","3282",0
"18","2128",9.00595238095238
"1557","1478",89.5
"385","3264",180
"1997","2238",1
"3310","1723",466
"1723","527",2196.80412220185
"1997","527",466
"540","1460",82.7866113158969
"3257","2128",1
"1219","1723",1549.58781496281
"1947","1947",0
"3332","1947",466
"152","3314",1
"1626","1455",63.2298993972483
"3357","753",466
"540","1460",82.7866113158969
"1723","1237",30.9711904761905
"3363","2128",1
"540","753",24.9097796717761
"753","3354",98.3875822381005
"540","753",24.9097796717761
"3379","527",466
"3379","3380",1
"1626","1947",178.969345419665
"1455","1455",0
"255","3413",46.483734402852
"1145","3399",1
"540","1460",82.7866113158969
"1145","3430",1
"1723","540",326.913728564068
"1536","1460",2
"1723","1947",222.114231227416
"3448","1460",2
"768","1947",413.51794039294
"6","26",38.2912499378016
"675","3455",115.96974025974
"753","3469",180
"3475","3419",1
"3475","2244",1
"3475","527",466
"3354","3455",65.0302597402598
"1947","2065",180
"3485","527",932
"540","3466",60.0000000000001
"540","3466",60.0000000000001
"1723","3495",180
"3415","3415",0
"3502","1740",2
"3503","3485",467
"1723","1237",30.9711904761905
"2252","753",25.2533740769035
"1723","3504",180
"527","3513",180
"540","753",24.9097796717761
"527","2176",154.444444444444
"3526","2222",18.5487804878049
"3447","3528",1
"737","3370",3.51270951270951
"540","3537",180
"364","3528",135.632746175393
"364","396",59.3333333333335
"1947","3543",180
"96","3548",4.63095238095238
"3516","1898",2
"96","3548",4.63095238095238
"1470","1626",466
"1626","3548",166.107142857143
"3574","1947",466
"18","630",2.69047619047619
"3354","2116",179
"540","753",24.9097796717761
"18","1237",4.97063357063357
"96","3548",4.63095238095238
"364","1947",1189.73155614258
"2157","1738",13.590873015873
"2157","1738",13.590873015873
"1947","3576",105.90445502872
"1738","3600",184
"18","1738",4.6
"18","1237",4.97063357063357
"18","1237",4.97063357063357
"2082","3564",1
"768","2116",2
"3526","3528",5.11666666666667
"3619","3582",0.5
